x,y,z,yaw,V,a
21921.392902315827,51753.80380451361,257.9,1.487183738689906,37.47474747,0.06764970787350469
21921.73932116346,51757.93728728318,257.9,1.4818626579890264,37.47474747,0.1564750785792613
21922.13070441826,51762.3265233631,257.9,1.477810523297918,37.47474747,0.2582436448650147
21922.566725765282,51767.00211834542,257.9,1.4780153911634173,37.47474747,0.3608815895809184
21923.016054395186,51771.831112227344,257.9,1.4804200671275793,37.47474747,0.46564057046435114
21923.456262545962,51776.68868188695,257.9,1.4820601913067022,37.47474747,0.5702215431291647
21923.886542018776,51781.524925006874,257.9,1.481988713254766,37.47474747,0.6733032155593865
21924.315322164413,51786.340416631465,257.9,1.4810325351638183,37.47474747,0.7760998462102108
21924.74814160909,51791.149218994695,257.9,1.4806185347670873,37.47474747,0.8789232972014364
21925.183140695073,51795.95993008,257.9,1.4816305445227014,37.47474747,0.982018069253479
21925.61346283067,51800.773223801945,257.9,1.4833089886973918,37.47474747,1.0856524891368484
21926.03558825303,51805.5858960591,257.9,1.4840961092184743,37.47474747,1.1925114614816477
21926.453635011083,51810.39555823362,257.9,1.4835330430783207,37.47474747,1.294900703523299
21926.87420497933,51815.20287097734,257.9,1.4823491378317837,37.47474747,1.3997618298183634
21927.300502562433,51820.01009412802,257.9,1.4813497980190056,37.47474747,1.4990448342988867
21927.731749220646,51824.818508284974,257.9,1.480686830386515,37.47474747,1.6070289340071449
21928.166278408553,51829.627684706415,257.9,1.4799327293648434,37.47474747,1.7065745867938007
21928.604402606416,51834.436186680934,257.9,1.4787721816971529,37.47474747,1.8095679919688208
21929.048011764942,51839.24314494382,257.9,1.4775427578281513,37.47474747,1.9243684142125186
21929.49761708842,51844.050481350176,257.9,1.4774638876167294,37.47474747,2.0151308488263275
21929.947926291356,51848.8612514049,257.9,1.4794475914596756,37.47474747,2.1125545847636547
21930.388839163217,51853.674517563995,257.9,1.4821515173078579,37.47474747,2.227174855712679
21930.81650976387,51858.48641594733,257.9,1.4835214240666212,37.47474747,2.3372295544519965
21931.237391657065,51863.29665039887,257.9,1.4839463179365662,37.47474747,2.427412762773924
21931.65640707151,51868.10910069062,257.9,1.4852777909779458,37.47474747,2.534137685548545
